,Specific Location,Amenities,Bedroom,Bathroom,Toilet,Description,Location,New,Duplex,Lux,Estate,locationbed,estate_price,terraced_price,new_price,value,location_rank,rank,Price
0,"  6, abimbola owodunni close, seaside estate, off badore road, ajah, lekki, lagos. badore ajah lagos",7,4,3,4,"Ground floor flat in a block of six flats of 3 bedroom each, there is water and power available services include security and cleaning of common area. It’s a plug and play apartment. ... Serviced. New. Big Compound. Pop Ceiling. All Room Ensuit. Parking Space. Water Treatment. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
1,  badore ajah lagos,9,5,4,5,"4 Bedroom Terraced Duplex at Unity Estate, Badore, Ajah For rent at N1.25m Caution at N50k SC at N75k ... Serviced. Dry. New. Big Compound. All Room Ensuit. Parking Space. 24 Hours Security. ...",ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
2,  lekki palm city ajah lagos,11,6,5,6,"FOR RENT: Brand New and Tastefully finished 4 bedroom Fully Detached House with Boys Quarter, Close to Ajah Jubilee Bridge, Ajah, Lagos. This beautiful home is strategically located in a serene, organized and very secured estate ... New. Ocean View. Big Compound. All Room Ensuit. Parking Space. Pop Ceiling. Drainage System. Cctv Cameras. Security Doors. Boys Quater. Security. ...",ajah,1,1,0,1,ajah6,4000000.0,4000000.0,4000000.0,3,50,9,4000000
3,  - thomas estate ajah lagos,9,5,4,5,"Nicely Built Four Bedroom Fully Detached Duplex with Bq for Sale Location: Thomas Estate, Ajah. Price: 50M Features: - Brand New - All Rooms En-suite - Play Area - 24 Hours Security - Fitted Kitchen - Interlocked Floor -Central sound system Kindly contact Nike on [redacted] ... New. All Room Ensuit. Parking Space. Pop Ceiling. ...",ajah,1,1,1,1,ajah5,3000000.0,3000000.0,3000000.0,4,43,8,5000000
4,  ajah lagos,9,5,4,5,"Lovely 4 Bedroom Semi-Detached House in Palm City, Ajah Features: All rooms en-suite, fully fitted kitchen, Ample parking space, Serene environment. Rent: 2.8 million Contact Chidi on +234 808 216 3583 ... All Room Ensuit. Parking Space. Pop Ceiling. ...",ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
5,  allied garden estate badore ajah lagos,5,3,2,3,Service Charge - 100k per annum ... Serviced. ...,ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
6,  silver point estate badore ajah lagos,5,3,2,3,2 bedroom Self Contain Flat / Apartment for rent Silver Point Estate Badore Ajah Lagos ... ...,ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
7,"  immediately after shoprite, sangotedo, lekki, lagos crown estate ajah lagos",9,5,4,5,"4 bedroom Semi Detached Duplex House for rent Immediately After Shoprite, Sangotedo, Lekki, Lagos Crown Estate Ajah Lagos ... Renovated. Street Lights. Pop Ceiling. Security. All Room Ensuit. Boys Quater. ...",ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
8,  by general paint olokonla ajah lagos,7,4,3,4,A single corporate tenant preferred ... Serviced. New. Big Compound. Pop Ceiling. All Room Ensuit. Water Treatment. Boys Quater. ...,ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,2500000
9,  virgo estate badore ajah lagos,5,3,2,3,"Caution fee - 75,000 ... ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
10,  unity estate badore ajah lagos,8,4,4,4,"Brand New 3 bedroom flat with excellent facilities: Very lovely estate Close to the road Interlock compound Very big parlor All room en-suit with heater in master rooms, with wardrobe in all rooms Big kitchen and cabinet and back exit ... New. Drainage System. Security Doors. Pop Ceiling. Mosques Nearby. Big Compound. Parking Space. 24 Hours Electricity. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
11,  marshyhill eatate ado ajah lagos,7,4,3,4,"Brand new 3bedroom flat in Marshyhill eatate, Ado road, Ajah Rent 1.1m (Including Service charge) Legal 10% Agency 10% Caution 100k ... Serviced. New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Big Compound. Cctv Cameras. All Room Ensuit. Supermarket Nearby. Parking Space. 24 Hours Security. Water Treatment. Security. Mosques Nearby. Church Nearby. Restaurants Nearby. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
12,  happy land estate olokonla ajah lagos,9,5,4,5,Brand new 4bedroom duplex with ample parking space ... Serviced. New. Pop Ceiling. Street Lights. Big Compound. All Room Ensuit. Parking Space. 24 Hours Electricity. ...,ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
13,  marshyhill estate ado ajah lagos,7,4,3,4,"Brand new 3bedroom flats in Marshyhill estate, Akins bus stop, Ajah Only 2 tenants in the compound Rent 1.2m ... New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Big Compound. All Room Ensuit. Supermarket Nearby. Parking Space. Water Treatment. Security. Mosques Nearby. Church Nearby. Restaurants Nearby. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
14,  inside estate badore ajah lagos,2,1,1,1,Lovely self-contained (shared apartment) Good location Close to the road Very Specious compound Big room Big bathroom Big kitchen Good light Good water ... Drainage System. Security Doors. Security. Pop Ceiling. Big Compound. All Room Ensuit. Parking Space. Fast Internet. 24 Hours Electricity. ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
15,  badore ajah lagos,2,1,1,1,"A single room self-contained sheared apartment in a flat with toilet inside the room only kitchen to be sheared by occupants, has constant light and water supply located at unity estate badore ajah ... New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Big Compound. All Room Ensuit. Supermarket Nearby. Parking Space. Fast Internet. 24 Hours Electricity. 24 Hours Security. Water Treatment. Security. ...",ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
16,  - ado ajah lagos,2,1,1,1,A Newly built 7 star tastefully finished self-contained sheared apartment with specious luxury rooms upstairs. All rooms ensuit only kitchen to be sheared by occupations . has constant light and clean water supply . close ... Dry. New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Big Compound. Cctv Cameras. All Room Ensuit. Supermarket Nearby. Parking Space. Fast Internet. 24 Hours Electricity. 24 Hours Security. Water Treatment. Free Wifi. Security. ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
17,  badore ajah lagos,3,2,1,2,A single room self-contained apartment with toilet and kitchen located inside the room and with constant light and clean water located in marshy hill estate (akins) badore ajah ... Cheap. Dry. Renovated. Water Treatment. Security Doors. Security. Pop Ceiling. Street Lights. Big Compound. All Room Ensuit. Fast Internet. 24 Hours Electricity. 24 Hours Security. ...,ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
18,  grenadine estate sangotedo ajah lagos,7,4,3,4,"3bedroom flats in grenadine estate, along monastery road, by shoprite, sangotedo Rent 1.4m ... New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Big Compound. All Room Ensuit. Supermarket Nearby. Parking Space. 24 Hours Security. Water Treatment. Children Play Ground. Security. Mosques Nearby. Church Nearby. Restaurants Nearby. ...",ajah,1,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,2,29,5,1400000
19,"  grenadine estate, by shoprite sangotedo ajah lagos",7,4,3,4,"3bedroom terrace duplex with bq in grenadine estate, along monastery road, by shoprite, sangotedo rent 1.7m ... New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Big Compound. All Room Ensuit. Supermarket Nearby. Parking Space. 24 Hours Security. Boys Quater. Water Treatment. Children Play Ground. Security. Mosques Nearby. Church Nearby. Jacuzzi. Restaurants Nearby. ...",ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,1700000
